emp_no,first_name,last_name,title,dept_no,dept_name
100295,Huican,Schmiedel,Senior Staff,d001,Marketing
100300,Paraskevi,Lieblein,Senior Engineer,d004,Production
100303,Huei,Pargaonkar,Senior Engineer,d005,Development
100305,Christfried,Heyers,Senior Engineer,d004,Production
100317,Xiaopeng,Lorys,Senior Staff,d007,Sales
100319,Frazer,Billingsley,Senior Engineer,d004,Production
100322,Janalee,Bahr,Senior Staff,d003,Human Resources
100332,Tooru,Schonegge,Senior Engineer,d004,Production
100333,Kyoichi,Radivojevic,Assistant Engineer,d005,Development
100349,Gianluca,Jarecki,Senior Engineer,d005,Development
100352,Moss,Poupard,Senior Engineer,d004,Production
100358,Lucian,Falby,Senior Engineer,d005,Development
100359,Vishwani,Speer,Senior Engineer,d006,Quality Management
100382,Mariangiola,Wynblatt,Senior Engineer,d005,Development
100384,Richara,Yurek,Senior Engineer,d005,Development
100386,Lubomir,Dulay,Engineer,d004,Production
100403,Chikara,Stavenow,Senior Engineer,d004,Production
100406,Yoshinari,Coors,Senior Staff,d007,Sales
100413,Mara,Schurmann,Senior Engineer,d004,Production
100416,Chinya,Neimat,Senior Engineer,d009,Customer Service
100419,Jaana,Leivant,Senior Staff,d002,Finance
100428,Fayez,Einsfeld,Senior Engineer,d005,Development
100429,Jayesh,Brender,Senior Engineer,d005,Development
100436,Subhankar,Gini,Senior Staff,d009,Customer Service
100444,Arno,Itzigehl,Senior Staff,d007,Sales
100452,Guther,Lowrie,Senior Engineer,d004,Production
100475,Aron,Piazza,Senior Staff,d008,Research
100486,Radhakrishnan,Maksimenko,Senior Staff,d007,Sales
100492,Vincent,Tibblin,Senior Staff,d009,Customer Service
100497,Tze,Fortenbacher,Senior Engineer,d005,Development
100500,Tetsurou,Sichman,Senior Engineer,d006,Quality Management
100516,Seongbae,Staudhammer,Senior Engineer,d004,Production
100531,Toshiko,Kranzdorf,Senior Engineer,d005,Development
100534,Aamer,Luga,Staff,d007,Sales
100555,Lucien,Gecsel,Senior Staff,d007,Sales
100556,Sachem,Kaiserswerth,Senior Staff,d002,Finance
100568,Aral,Huhdanpaa,Senior Staff,d001,Marketing
100569,Sreekrishna,Anandan,Senior Engineer,d004,Production
100574,Lucien,Bennet,Senior Staff,d001,Marketing
100583,Goetz,Schnelling,Senior Engineer,d005,Development
100593,Sasan,Sethi,Engineer,d004,Production
100609,Gina,Lakshmanan,Senior Engineer,d004,Production
100621,Olivera,Joslin,Engineer,d009,Customer Service
100634,Halsur,Yurek,Senior Engineer,d004,Production
100653,Georgi,Maraist,Senior Engineer,d005,Development
100656,Persi,Teitelbaum,Engineer,d006,Quality Management
100673,Giri,Jiang,Senior Staff,d007,Sales
100674,Mariangiola,Lovengreen,Technique Leader,d004,Production
100678,Premal,Terkki,Senior Engineer,d006,Quality Management
100680,Xiping,Duclos,Senior Staff,d002,Finance
100686,True,Beausoleil,Senior Staff,d007,Sales
100698,Gino,Atrawala,Senior Staff,d001,Marketing
100708,Yaghout,Pauthner,Engineer,d006,Quality Management
100721,Poornachandra,Bade,Senior Engineer,d005,Development
100725,Zvonko,Maliniak,Senior Staff,d009,Customer Service
100746,Heather,Rehfuss,Senior Staff,d007,Sales
100748,Uriel,Marakhovsky,Senior Staff,d008,Research
100753,Zsolt,Baca,Senior Engineer,d008,Research
100769,Willard,Clemencon,Senior Engineer,d004,Production
100787,Ewing,Sury,Staff,d001,Marketing
100838,Kristin,Serre,Technique Leader,d005,Development
100842,Dante,Brobst,Senior Engineer,d008,Research
100853,Aris,Coombs,Senior Engineer,d005,Development
100854,Serge,Kaiserswerth,Senior Engineer,d005,Development
100880,Chikara,Thibadeau,Senior Staff,d003,Human Resources
100884,Adamantios,Rousseau,Senior Staff,d001,Marketing
100889,Mariusz,Spelt,Senior Staff,d005,Development
100900,Saniya,Vandervoorde,Senior Staff,d003,Human Resources
100914,Erzsebet,Shackell,Senior Engineer,d005,Development
100920,Henk,Byoun,Senior Engineer,d005,Development
100924,Moni,Sewelson,Staff,d008,Research
100927,Troy,Lovengreen,Assistant Engineer,d009,Customer Service
100933,Uli,Taneja,Senior Staff,d007,Sales
100934,Goncalo,Czaja,Engineer,d005,Development
100960,Saniya,Candan,Senior Engineer,d005,Development
100964,Arra,Mamelak,Senior Engineer,d004,Production
100965,Lucian,Bultermann,Senior Staff,d007,Sales
100974,Adas,Ebeling,Engineer,d004,Production
100998,Breannda,Portugali,Senior Staff,d007,Sales
101000,Vishv,Marrevee,Senior Staff,d009,Customer Service
101002,Fei,Billawala,Senior Staff,d001,Marketing
101003,Pranas,Kusakabe,Engineer,d005,Development
101005,Niranjan,Erni,Senior Engineer,d005,Development
101015,Spyrose,Rahier,Senior Staff,d003,Human Resources
101018,Shigeu,Serra,Senior Engineer,d005,Development
101033,Zhiwei,Clemencon,Senior Staff,d004,Production
101034,Elgin,Tyugu,Senior Engineer,d005,Development
101067,Kerhong,Schmittgen,Assistant Engineer,d005,Development
101071,Perla,Leivant,Senior Staff,d001,Marketing
101073,Yongdong,Iwayama,Senior Engineer,d005,Development
101078,Fusako,Zedlitz,Senior Engineer,d009,Customer Service
101086,Fumino,Breugel,Assistant Engineer,d004,Production
101096,Make,Zaccaria,Senior Engineer,d005,Development
101098,Maya,Norsworthy,Senior Staff,d001,Marketing
101110,Mahmut,Strooper,Technique Leader,d004,Production
101117,Visit,Kriebel,Senior Staff,d008,Research
101122,Nahla,Swick,Senior Staff,d008,Research
101123,Henk,Wossner,Senior Staff,d007,Sales
101142,Sedat,Gini,Senior Engineer,d008,Research
101153,Manohar,Gill,Senior Staff,d007,Sales
101172,Nevio,Schoegge,Senior Staff,d007,Sales
101180,Subhada,Przulj,Senior Staff,d007,Sales
101192,Shugo,Poujol,Senior Staff,d001,Marketing
101193,Fen,Rabejac,Senior Engineer,d004,Production
101204,Nikolaus,Schmiedel,Staff,d009,Customer Service
101206,Nishit,Vitiello,Senior Staff,d002,Finance
101210,Hidde,Takanami,Senior Engineer,d004,Production
101218,Basil,Huhdanpaa,Technique Leader,d005,Development
101221,Phule,Saoudi,Technique Leader,d005,Development
101239,Toshimori,Khalil,Senior Staff,d007,Sales
101240,Oldrich,Perin,Senior Staff,d007,Sales
101246,Saddek,Sommer,Senior Staff,d001,Marketing
101252,Constantino,Speer,Senior Staff,d003,Human Resources
101258,Patricia,Lortz,Senior Engineer,d006,Quality Management
101270,Tsutomu,Nitto,Senior Staff,d003,Human Resources
101276,Shirish,Leonhardt,Senior Engineer,d004,Production
101286,Gila,Bernardinello,Engineer,d004,Production
101288,Bader,Chorvat,Senior Engineer,d006,Quality Management
101291,Kellie,Mapelli,Senior Engineer,d005,Development
101294,Sakthirel,Speel,Senior Engineer,d004,Production
101312,Kamakshi,Auria,Senior Engineer,d009,Customer Service
101321,Arvind,Beetstra,Senior Engineer,d005,Development
101331,Tsz,Hagimont,Senior Engineer,d005,Development
101338,Nobuyoshi,Legleitner,Senior Engineer,d006,Quality Management
101346,Dinkar,Perfilyeva,Senior Engineer,d006,Quality Management
101357,Baocai,Clemencon,Senior Staff,d008,Research
101364,Turgut,Poehlman,Senior Engineer,d004,Production
101377,Jacqueline,Decaestecker,Senior Engineer,d004,Production
101380,Cullen,Ghazalie,Engineer,d004,Production
101385,Maia,Vickson,Technique Leader,d004,Production
101396,Guther,Pellegrinelli,Senior Staff,d008,Research
101405,Takahito,Fasbender,Senior Engineer,d005,Development
101412,Nathan,Baaleh,Senior Staff,d002,Finance
101414,Xiaoheng,DasSarma,Senior Staff,d007,Sales
101425,Lalit,Speel,Senior Engineer,d004,Production
101428,Tiina,Muhling,Senior Engineer,d005,Development
101440,Aimee,McAffer,Senior Staff,d001,Marketing
101445,Remzi,Dehkordi,Senior Staff,d007,Sales
101461,Satosi,Bednarek,Senior Engineer,d004,Production
101470,Toshiki,Champarnaud,Senior Engineer,d005,Development
101477,Kenroku,Piazza,Senior Staff,d009,Customer Service
101490,Lein,Morrin,Senior Staff,d008,Research
101501,Rosalie,Vecchi,Technique Leader,d004,Production
101505,Dietrich,Gornas,Senior Staff,d007,Sales
101515,Nahid,Magalhaes,Senior Staff,d008,Research
101519,Marek,Macedo,Senior Engineer,d005,Development
101521,Debatosh,Soloway,Senior Engineer,d004,Production
101523,Vishv,Quadeer,Technique Leader,d005,Development
101530,Sushant,Debuse,Technique Leader,d005,Development
101537,Luigi,Cyre,Senior Engineer,d005,Development
101558,Wojceich,Tischendorf,Senior Engineer,d005,Development
101559,Rasiah,Kisuki,Senior Engineer,d005,Development
101580,Lein,Bernardinello,Senior Staff,d009,Customer Service
101587,Hironobu,Puppo,Senior Staff,d007,Sales
101588,Manu,Weedon,Senior Engineer,d006,Quality Management
101608,Girolamo,Mundy,Senior Staff,d007,Sales
101617,Serge,Maquelin,Senior Staff,d002,Finance
101626,Moheb,Vrecion,Senior Staff,d009,Customer Service
101637,Subir,Azuma,Staff,d003,Human Resources
101638,Gaurav,Conta,Engineer,d005,Development
101651,Trygve,Templeman,Senior Engineer,d004,Production
101656,Yaghout,Kornyak,Senior Staff,d007,Sales
101657,Krisda,Herath,Senior Staff,d009,Customer Service
101681,Goh,Fasbender,Senior Engineer,d005,Development
101688,Bilhanan,Worfolk,Engineer,d005,Development
101690,Dante,Lally,Senior Staff,d007,Sales
101713,Weiye,Erev,Senior Staff,d009,Customer Service
101719,Nadjib,Wolniewicz,Senior Engineer,d005,Development
101721,Hidefumi,Cooke,Senior Engineer,d005,Development
101742,Tetsushi,Sessa,Senior Staff,d001,Marketing
101774,Heekeun,Baba,Senior Engineer,d004,Production
101775,Tuval,Liedekerke,Engineer,d004,Production
101778,Aamer,Peha,Senior Engineer,d005,Development
101787,Shunichi,Muhling,Senior Engineer,d004,Production
101800,Arlette,Iwayama,Engineer,d005,Development
101808,Atreye,Hedayat,Technique Leader,d005,Development
101813,Shai,Turnbull,Senior Engineer,d008,Research
101816,Hongzhu,Claffy,Senior Staff,d003,Human Resources
101833,Cordelia,Couchot,Senior Staff,d007,Sales
101845,Giordano,Pouyioutas,Senior Staff,d008,Research
101848,Jouko,Kolinko,Senior Staff,d001,Marketing
101855,Sven,Majewski,Senior Staff,d002,Finance
101858,Katsuyuki,Nourani,Senior Staff,d009,Customer Service
101869,Zhanqiu,Siprelle,Senior Staff,d007,Sales
101878,Tetsushi,Stroustrup,Senior Staff,d007,Sales
101887,Zhonghua,McAlpine,Senior Engineer,d004,Production
101888,Eran,Ritcey,Engineer,d005,Development
101898,Mang,Schwartzbauer,Senior Engineer,d004,Production
101907,Jianhao,England,Staff,d002,Finance
101915,Mayuri,Chenoweth,Senior Engineer,d005,Development
101919,Mantis,Schahn,Senior Staff,d001,Marketing
101928,Avishai,Baezner,Engineer,d005,Development
101932,Christophe,Hashii,Senior Engineer,d005,Development
101934,Roselyn,Rosin,Senior Staff,d001,Marketing
101949,Foong,Pettis,Senior Engineer,d005,Development
101973,Yucel,Kilgore,Senior Staff,d002,Finance
101989,JiYoung,Plavsic,Senior Engineer,d004,Production
101993,Manohar,Perez,Senior Staff,d003,Human Resources
102011,Genevieve,Lund,Senior Engineer,d005,Development
102019,Mohammad,Ullian,Senior Staff,d003,Human Resources
102027,Gladys,Isaak,Senior Engineer,d005,Development
102028,Yunming,Thiran,Senior Engineer,d009,Customer Service
102045,Chandrasekaran,Berstel,Engineer,d004,Production
102052,Shaunak,Krychniak,Senior Staff,d002,Finance
102061,Niclas,Nittel,Senior Engineer,d005,Development
102062,Shigehiro,Lanteri,Senior Staff,d008,Research
102068,Zhilian,Bergere,Senior Staff,d008,Research
102079,Gay,Thiria,Senior Engineer,d005,Development
102081,Gina,Bridgland,Technique Leader,d004,Production
102090,Shaleah,Zizka,Senior Staff,d009,Customer Service
102105,Hironobu,Schwartzbauer,Senior Staff,d003,Human Resources
102110,Mang,Christ,Senior Staff,d001,Marketing
102131,Gill,Aseltine,Senior Staff,d008,Research
102144,Bernice,Karlin,Engineer,d005,Development
102147,Kristen,Miyakawa,Senior Staff,d001,Marketing
102153,Danel,Lukaszewicz,Senior Staff,d001,Marketing
102162,Nevin,Fujisaki,Senior Engineer,d004,Production
102180,Demos,Waschkowski,Senior Staff,d008,Research
102187,Fumiya,Eickenmeyer,Senior Staff,d003,Human Resources
102191,Nikolaos,Menyhert,Senior Engineer,d005,Development
102217,Christ,Luks,Senior Engineer,d005,Development
102220,Deborah,Poehlman,Technique Leader,d004,Production
102221,Manibrata,Orlowska,Senior Engineer,d006,Quality Management
102228,Udaiprakash,Nannarelli,Senior Staff,d001,Marketing
102232,Roded,Kaiser,Senior Staff,d008,Research
102240,Shmuel,Rodite,Senior Engineer,d005,Development
102257,Stella,Tsukune,Senior Engineer,d005,Development
102286,Cedric,Chachaty,Senior Staff,d008,Research
102292,Fumiyo,Peltason,Technique Leader,d005,Development
102298,Tianruo,Selenyi,Engineer,d005,Development
102314,Anneli,Maliniak,Engineer,d004,Production
102320,Bangqing,Sichman,Senior Engineer,d005,Development
102336,Frazer,Schlenzig,Senior Engineer,d004,Production
102371,Chenxi,Chenoweth,Senior Staff,d001,Marketing
102372,Maik,Jahnichen,Senior Engineer,d005,Development
102385,Mountaz,Sidou,Senior Engineer,d005,Development
102395,Kitty,Massonet,Senior Staff,d003,Human Resources
102405,Kagan,Danlos,Senior Staff,d007,Sales
102423,Kazuhiko,Sridhar,Senior Staff,d002,Finance
102427,Idoia,Rindone,Senior Staff,d001,Marketing
102433,Arch,Peek,Senior Staff,d007,Sales
102440,Yucai,Farrow,Senior Staff,d007,Sales
102450,Elgin,Krupka,Senior Engineer,d004,Production
102451,Vugranam,Harbusch,Engineer,d004,Production
102465,IEEE,Chiola,Senior Staff,d009,Customer Service
102479,Serap,Facello,Senior Staff,d007,Sales
102483,Qingxiang,Boissier,Senior Engineer,d004,Production
102496,Ayonca,Hiraishi,Senior Engineer,d005,Development
102514,Arne,Huttel,Senior Engineer,d005,Development
102520,Tetsurou,Remmers,Senior Engineer,d005,Development
102548,Tokuyasu,Kragelund,Senior Engineer,d004,Production
102552,Danai,Delgrande,Senior Staff,d009,Customer Service
102597,Waiman,Vidal,Senior Engineer,d004,Production
102609,Chaoyi,Felder,Engineer,d004,Production
102627,Bedrich,Businaro,Senior Engineer,d004,Production
102632,Caolyn,Radwan,Senior Engineer,d005,Development
102654,Gregory,Makinen,Technique Leader,d005,Development
102673,Stamatina,Vigier,Senior Staff,d007,Sales
102677,Huei,Karcich,Senior Engineer,d009,Customer Service
102682,Oscar,Reutenauer,Senior Staff,d007,Sales
102692,Saniya,Lindenbaum,Staff,d007,Sales
102700,Juichirou,Hedayat,Senior Engineer,d005,Development
102704,Slavian,Andreotta,Senior Staff,d002,Finance
102708,Xinglin,Marletta,Senior Staff,d002,Finance
102710,Divier,Szmurlo,Senior Engineer,d005,Development
102728,Make,Jiang,Staff,d007,Sales
102733,Marie,Angiulli,Senior Staff,d009,Customer Service
102737,Fabrizio,Mitina,Senior Engineer,d004,Production
102738,Ramya,Tchuente,Senior Staff,d009,Customer Service
102740,Guenter,Gide,Senior Engineer,d004,Production
102741,Palash,Naumovich,Senior Staff,d007,Sales
102742,Raimond,Kruskal,Engineer,d004,Production
102754,Mohua,Huhdanpaa,Senior Engineer,d005,Development
102757,Arno,Pardalos,Senior Engineer,d005,Development
102762,Josyula,Setlzner,Senior Staff,d003,Human Resources
102765,Arnould,Lipner,Senior Staff,d008,Research
102766,Guiseppe,Dechter,Engineer,d004,Production
102777,Fumiko,Stille,Senior Engineer,d004,Production
102778,Bernice,Mitchem,Senior Engineer,d004,Production
102793,Joydip,Benzaken,Senior Engineer,d005,Development
102801,Chanjung,Chachaty,Senior Engineer,d005,Development
102803,Giri,Servi,Senior Engineer,d004,Production
102808,Qingxiang,Eiter,Senior Engineer,d004,Production
102810,Jiafu,Birsak,Senior Staff,d007,Sales
102815,Shunichi,Scallan,Senior Staff,d002,Finance
102851,Xudong,Bruckman,Technique Leader,d005,Development
102856,Bogdan,Peron,Senior Staff,d003,Human Resources
102870,Marsal,Alpay,Senior Staff,d007,Sales
102901,Constantino,Huttel,Senior Engineer,d009,Customer Service
102912,Teiji,Khalil,Senior Staff,d001,Marketing
102941,Luigi,Erni,Senior Engineer,d004,Production
102942,Gretta,Vilarrasa,Senior Staff,d007,Sales
102953,Woody,Terlouw,Senior Engineer,d004,Production
102962,Chirstian,Kobara,Senior Staff,d007,Sales
102996,Patricio,Riesenhuber,Senior Engineer,d008,Research
103005,Rafael,Keustermans,Senior Engineer,d005,Development
103019,Jungsoon,Wissmann,Staff,d002,Finance
103024,Patricio,Jakobus,Senior Engineer,d004,Production
103040,Kamran,Lorie,Senior Engineer,d004,Production
103042,Berthier,Masand,Senior Staff,d009,Customer Service
103058,Yongqiao,Zumaque,Senior Engineer,d004,Production
103059,Hatem,Mondadori,Technique Leader,d004,Production
103061,Karlis,Delaune,Senior Engineer,d006,Quality Management
103076,Thodoros,Stiles,Senior Staff,d003,Human Resources
103092,Mabry,Falby,Senior Engineer,d005,Development
103107,Bikash,Georgatos,Senior Staff,d002,Finance
103128,Alenka,Crabtree,Senior Engineer,d005,Development
103129,Jianhua,Munoz,Senior Engineer,d004,Production
103130,Kiyokazu,Sundgren,Senior Engineer,d004,Production
103156,Yahiko,Schiper,Senior Staff,d007,Sales
103159,Greger,Chandrasekhar,Senior Engineer,d004,Production
103164,Valeska,Chiola,Senior Staff,d001,Marketing
103176,Khue,Pelc,Senior Staff,d001,Marketing
103178,Tetsurou,Argence,Senior Engineer,d005,Development
103184,Yongdong,Garnham,Engineer,d006,Quality Management
103198,Alois,Yeung,Senior Engineer,d005,Development
103219,Guenter,Muchinsky,Senior Engineer,d004,Production
103223,Jongsuk,Papadias,Senior Engineer,d005,Development
103224,Zeljko,Seghrouchni,Senior Engineer,d006,Quality Management
103235,Kazuhito,Acton,Senior Engineer,d006,Quality Management
103245,Sajjad,Cusworth,Senior Engineer,d005,Development
103252,Domenick,Baca,Technique Leader,d005,Development
103258,Nathan,Baaz,Senior Staff,d008,Research
103259,Remzi,Brattka,Senior Staff,d003,Human Resources
103270,Moty,Openshaw,Senior Staff,d008,Research
103271,Trygve,Bamford,Senior Engineer,d006,Quality Management
103284,Guiseppe,Hofting,Senior Engineer,d004,Production
103294,Basant,Lodder,Senior Staff,d008,Research
103296,Remzi,Siochi,Senior Staff,d009,Customer Service
103332,Zhanqiu,Guerreiro,Senior Engineer,d005,Development
103338,Munir,Wilharm,Senior Staff,d002,Finance
103344,Sanjeeva,Whittlesey,Senior Engineer,d005,Development
103349,Chiranjit,Saoudi,Senior Engineer,d005,Development
103350,George,Kranzdorf,Engineer,d005,Development
103351,Stein,Junot,Senior Engineer,d005,Development
103358,Takushi,Legleitner,Senior Staff,d007,Sales
103367,Supot,Isaac,Senior Engineer,d004,Production
103375,Khue,Fioravanti,Senior Staff,d007,Sales
103398,Nikolaos,Schreiter,Staff,d007,Sales
103415,Heng,Cronin,Senior Staff,d009,Customer Service
103419,Marjo,Pettit,Senior Engineer,d006,Quality Management
103424,Geoffrey,Knightly,Assistant Engineer,d006,Quality Management
103426,Shigeaki,Koshiba,Senior Engineer,d004,Production
103427,Licheng,Dalton,Senior Engineer,d004,Production
103435,Sverrir,Ghazalie,Senior Engineer,d005,Development
103460,Rajmohan,Duclos,Senior Staff,d002,Finance
103467,Kwangyoen,Glinert,Senior Staff,d007,Sales
103484,Niclas,Velardi,Senior Engineer,d005,Development
103488,Moheb,Conde,Senior Engineer,d004,Production
103490,Claudi,Kropatsch,Senior Engineer,d004,Production
103523,Visit,Servieres,Senior Engineer,d005,Development
103529,Duke,Uhrik,Senior Engineer,d004,Production
103537,Adit,Grospietsch,Senior Staff,d002,Finance
103538,Mountaz,Ushiama,Senior Engineer,d004,Production
103558,Adel,Unni,Senior Staff,d001,Marketing
103563,Fan,Msuda,Senior Engineer,d004,Production
103566,Fumino,Pouyioutas,Senior Engineer,d005,Development
103567,Eberhardt,Perl,Senior Engineer,d005,Development
103568,Peternela,Camarinopoulos,Technique Leader,d005,Development
103569,Rayond,Rodier,Senior Engineer,d006,Quality Management
103573,Mani,Erman,Senior Staff,d002,Finance
103575,Ugo,Verhaegen,Senior Staff,d007,Sales
103576,Suzette,Picci,Staff,d009,Customer Service
103583,Arno,Gulla,Senior Staff,d009,Customer Service
103585,Juichirou,Dusink,Senior Staff,d007,Sales
103586,Kwee,Veevers,Engineer,d005,Development
103589,Ipke,Fujisaki,Senior Engineer,d004,Production
103591,Moni,Vakili,Senior Staff,d007,Sales
103595,Zhensheng,Hutton,Senior Staff,d007,Sales
103605,Alagu,Fraisse,Technique Leader,d004,Production
103607,Yannis,Roccetti,Senior Staff,d001,Marketing
103621,Yuqun,Vidya,Staff,d009,Customer Service
103640,Valeska,Yetto,Senior Staff,d009,Customer Service
103641,Aamer,Loncour,Engineer,d005,Development
103644,Harjit,Erdi,Technique Leader,d005,Development
103659,Remco,Feldmann,Senior Engineer,d005,Development
103661,Chinya,Rettelbach,Senior Engineer,d006,Quality Management
103663,Bezalel,Edelhoff,Engineer,d005,Development
103665,Tomoyuki,Monarch,Senior Engineer,d005,Development
103668,Remmert,Mitchem,Senior Engineer,d005,Development
103670,Bernice,Siepmann,Senior Staff,d002,Finance
103681,Toney,Rosiles,Senior Staff,d009,Customer Service
103682,Samphel,Shrader,Senior Engineer,d005,Development
103717,Kwangjo,Zhang,Staff,d002,Finance
103723,Noritoshi,Geffroy,Senior Staff,d003,Human Resources
103731,Leandro,Cyre,Engineer,d005,Development
103733,Paraskevi,Ravishankar,Senior Engineer,d004,Production
103753,Faiza,Fortenbacher,Senior Staff,d008,Research
103754,Ebru,Nicolson,Senior Engineer,d004,Production
103759,Rance,Rajaraman,Staff,d009,Customer Service
103766,Ronghao,Monkewich,Engineer,d004,Production
103772,Vidar,Pollacia,Senior Staff,d009,Customer Service
103776,Franziska,Ashish,Senior Staff,d007,Sales
103782,Sigeru,Baez,Senior Staff,d007,Sales
103835,Masasuke,Cyre,Senior Engineer,d005,Development
103842,Stevo,Luef,Staff,d002,Finance
103849,Luerbio,Bennet,Senior Engineer,d004,Production
103855,Christophe,Peres,Technique Leader,d004,Production
103862,Christophe,Koblitz,Senior Engineer,d004,Production
103865,Eishiro,Pews,Senior Engineer,d004,Production
103869,Shaunak,Pollock,Senior Staff,d001,Marketing
103876,Mohammad,Suppi,Senior Engineer,d004,Production
103878,Uta,Brandsma,Staff,d002,Finance
103892,Ohad,Bouloucos,Senior Engineer,d004,Production
103897,Vivian,Munos,Senior Engineer,d005,Development
103898,Saeed,Rosin,Senior Staff,d007,Sales
103913,Shahid,Yurov,Senior Engineer,d005,Development
103918,Seshu,Jenevein,Technique Leader,d005,Development
103926,Jiafu,Camarinopoulos,Senior Staff,d007,Sales
103936,Chikako,Bolsens,Senior Engineer,d004,Production
103938,Toshimi,Frolund,Senior Engineer,d004,Production
103939,Ugo,Begiun,Senior Engineer,d004,Production
103951,Eben,Luders,Senior Engineer,d004,Production
103960,Fusako,Brobst,Senior Staff,d008,Research
103971,Gritta,Journel,Senior Staff,d003,Human Resources
103987,Aimee,Uhrik,Senior Engineer,d005,Development
103988,Mary,Griswold,Senior Staff,d008,Research
104005,Ibibia,Molenkamp,Senior Engineer,d005,Development
104011,Masanao,Journel,Staff,d007,Sales
104014,Honglan,Krohn,Senior Engineer,d006,Quality Management
104021,Yonghoan,Mondadori,Senior Engineer,d005,Development
104029,Alper,Pagter,Staff,d007,Sales
104035,Sivanarayana,Chandrasekhar,Senior Staff,d007,Sales
104047,Girolamo,Zweizig,Engineer,d004,Production
104054,Uinam,Rothe,Senior Engineer,d005,Development
104060,Moriyoshi,Baca,Technique Leader,d004,Production
104073,Vitali,Peral,Senior Staff,d007,Sales
104091,Shrikanth,Mawatari,Senior Staff,d007,Sales
104092,Abdelaziz,Vitiello,Assistant Engineer,d004,Production
104093,Cristinel,Streng,Senior Staff,d008,Research
104122,Georg,Schreiter,Senior Engineer,d005,Development
104130,Kazuhira,Rodiger,Senior Engineer,d005,Development
104135,Yaghout,Servi,Staff,d009,Customer Service
104143,Gino,Morton,Senior Engineer,d004,Production
104144,Gilbert,Staelin,Engineer,d006,Quality Management
104145,Mang,Selvestrel,Senior Engineer,d005,Development
104153,Almudena,Chaudhury,Senior Staff,d003,Human Resources
104160,Kotesh,Kamber,Technique Leader,d005,Development
104163,Yishay,Ambroszkiewicz,Senior Staff,d001,Marketing
104184,Roselyn,Ventosa,Senior Engineer,d009,Customer Service
104196,Dulce,Norsworthy,Senior Staff,d003,Human Resources
104203,Shigenori,Gyorkos,Staff,d009,Customer Service
104210,Ziyad,Schaaf,Technique Leader,d004,Production
104212,Bedrich,Driscoll,Senior Staff,d007,Sales
104222,Gretta,Wursthorn,Senior Engineer,d004,Production
104223,Mantis,Waymire,Senior Staff,d009,Customer Service
104233,Cordelia,Kolvik,Engineer,d005,Development
104254,Tuval,Lichtner,Senior Engineer,d004,Production
104266,Kiyokazu,Antonakopoulos,Engineer,d005,Development
104294,Siddarth,Flowers,Senior Engineer,d005,Development
104312,Suzette,Hettesheimer,Senior Staff,d009,Customer Service
104313,Makato,Thisen,Senior Engineer,d004,Production
104315,Georgi,Woycyznski,Senior Staff,d003,Human Resources
104316,Kristian,Demeyer,Senior Engineer,d006,Quality Management
104328,Luerbio,Setlzner,Technique Leader,d005,Development
104336,Shigeu,Lagarias,Senior Engineer,d004,Production
104352,Xiaoheng,Samarati,Senior Staff,d007,Sales
104361,Zhongwei,Msuda,Senior Engineer,d004,Production
104363,Mansur,Xiaoshan,Senior Staff,d007,Sales
104366,Yaghout,Erman,Technique Leader,d004,Production
104369,Elliott,Fandrianto,Senior Staff,d008,Research
104399,Dipankar,Schnelling,Senior Engineer,d004,Production
104402,Gonzalo,Molenaar,Staff,d007,Sales
104404,Yoshinari,Usery,Senior Staff,d007,Sales
104411,Zengping,Desikan,Senior Staff,d002,Finance
104431,Xuedong,Kenevan,Senior Staff,d008,Research
104452,Paloma,Lorin,Senior Engineer,d004,Production
104462,Tomofumi,Randt,Senior Staff,d002,Finance
104467,Anoosh,Panwar,Senior Engineer,d004,Production
104478,Shrikanth,Goodrum,Technique Leader,d009,Customer Service
104480,Arif,Randt,Senior Staff,d001,Marketing
104503,Poornachandra,Kalefeld,Senior Engineer,d004,Production
104504,Waiman,Kilgore,Senior Engineer,d004,Production
104508,Wilmer,Thummel,Senior Engineer,d004,Production
104510,Willard,Eppinger,Senior Staff,d001,Marketing
104517,Kazuhide,Demri,Senior Staff,d008,Research
104520,Vishv,Neimat,Senior Staff,d007,Sales
104536,Shooichi,Ernst,Senior Staff,d007,Sales
104537,Sadun,Schnelling,Technique Leader,d004,Production
104549,Chaoyi,Sabnani,Assistant Engineer,d005,Development
104557,Turgut,Kushnir,Technique Leader,d004,Production
104577,Kellyn,Ibel,Senior Staff,d003,Human Resources
104592,Gift,Chinin,Senior Staff,d001,Marketing
104593,Arno,Maksimenko,Senior Engineer,d004,Production
104610,Fusako,Peak,Senior Staff,d007,Sales
104625,Odoardo,Vendrig,Senior Engineer,d005,Development
104626,Patricio,Zaiane,Senior Staff,d001,Marketing
104637,Basant,dAstous,Senior Staff,d002,Finance
104640,Chaosheng,Conia,Engineer,d006,Quality Management
104644,Yuguang,Lieblein,Senior Engineer,d005,Development
104658,Mrinalini,Ratnakar,Assistant Engineer,d004,Production
104670,Tzvetan,Cappelletti,Senior Engineer,d006,Quality Management
104682,Toshimori,Speek,Senior Staff,d007,Sales
104696,Lansing,Aseltine,Senior Staff,d009,Customer Service
104710,Munenori,Trogemann,Senior Staff,d007,Sales
104711,Herb,Vural,Senior Engineer,d004,Production
104718,Lorien,Brandsma,Senior Engineer,d005,Development
104736,Shuky,Birke,Senior Engineer,d004,Production
